program,addr,name,outcome,instructions_checked,instructions_unchecked,detail,assembler
bank0,B5B2,FUN_CODE_b5b2,match,15,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B5CC,FUN_CODE_b5cc,match,4,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B5D2,FUN_CODE_b5d2,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B5D3,FUN_CODE_b5d3,partial,148,4,"4 of 152 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B716,FUN_CODE_b716,match,15,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B730,FUN_CODE_b730,match,4,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B736,FUN_CODE_b736,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B737,FUN_CODE_b737,partial,114,5,"5 of 119 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B82E,FUN_CODE_b82e,match,8,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B83B,FUN_CODE_b83b,match,41,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B889,FUN_CODE_b889,match,30,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B8C0,FUN_CODE_b8c0,match,7,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,B8CD,FUN_CODE_b8cd,match,7,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
