callee_scope,callee_addr,citer_scope,citer_addr,verdict,gap,end,next,window,transfers,hit_site,hit_text,at_next,neighbour_edge,db,unassigned,truncated,frame_onto,frame_over
common,383D,common,3BDD,no-transfer,0,3BE4,3BE4,900a4e,,,,,,0,0,no,24,0
common,3A0D,common,3BDD,no-transfer,0,3BE4,3BE4,900a4e,,,,,common:2E9C ljmp,0,0,no,24,0
common,3B60,common,3B4E,no-transfer,0,3B51,3B51,75f00d,,,,,common:3609 lcall,0,0,no,24,0
common,3CD9,common,3F9D,no-transfer,0,3FA4,3FA4,8f3122,,,,,,0,0,no,24,0
common,3DCE,common,4368,no-transfer,0,436F,436F,901308,,,,,,0,0,no,24,0
common,3DFC,common,4368,no-transfer,0,436F,436F,901308,,,,,,0,0,no,24,0
common,451A,common,4AFB,no-transfer,0,4B02,4B02,ee75f0,,,,,,0,0,yes,24,0
common,4666,common,4AFB,no-transfer,0,4B02,4B02,ee75f0,,,,,common:4666 ljmp,0,0,yes,24,0
common,46F9,common,4AFB,no-transfer,0,4B02,4B02,ee75f0,,,,,common:4666 ljmp,0,0,yes,24,0
common,4825,common,4AFB,no-transfer,0,4B02,4B02,ee75f0,,,,,,0,0,yes,24,0
common,4921,common,4AFB,no-transfer,0,4B02,4B02,ee75f0,,,,,common:48B1 ljmp,0,0,yes,24,0
common,492D,common,4A76,no-transfer,0,4A77,4A77,75f00f,,,,,common:4825 ljmp,0,0,no,24,0
common,4A77,common,4A76,no-transfer,0,4A77,4A77,75f00f,,,,,common:43A5 lcall,0,0,no,24,0
common,4A83,common,4A76,no-transfer,0,4A77,4A77,75f00f,,,,,common:43A5 lcall,0,0,no,24,0
common,5A5A,common,5A55,no-transfer,0,5A5A,5A5A,8caac8,,,,,common:0046 lcall,0,0,no,24,0
pd,06EA,bank0,D045,no-transfer,0,D053,D053,9006e7,,,,,,0,0,no,24,0
pd,39E6,pd,39E7,no-transfer,11,39EE,39F9,743b2ff974043efa7b012275f060,,,,,pd:6673 lcall,0,0,no,24,0
pd,E930,bank1,E924,no-transfer,0,E931,E931,221a7c,,,,,,0,0,yes,24,0
