program,row_addr,row_name,insn_addr,bytes,ghidra_text,disasm_text,ghidra_canonical,disasm_canonical,reason,verdict
bank0,D091,dispatch_on_0860,D151,d173,acall 0xd673,acall 0xd673,acall 0xd673,acall 0xd673,GAP_MNEMONICS acall,agree
bank0,D091,dispatch_on_0860,D154,d198,acall 0xd698,acall 0xd698,acall 0xd698,acall 0xd698,GAP_MNEMONICS acall,agree
bank0,D091,dispatch_on_0860,D157,d1c0,acall 0xd6c0,acall 0xd6c0,acall 0xd6c0,acall 0xd6c0,GAP_MNEMONICS acall,agree
bank0,D091,dispatch_on_0860,D15A,d1ef,acall 0xd6ef,acall 0xd6ef,acall 0xd6ef,acall 0xd6ef,GAP_MNEMONICS acall,agree
bank0,D091,dispatch_on_0860,D15D,d1c0,acall 0xd6c0,acall 0xd6c0,acall 0xd6c0,acall 0xd6c0,GAP_MNEMONICS acall,agree
bank0,D091,dispatch_on_0860,D160,d1ef,acall 0xd6ef,acall 0xd6ef,acall 0xd6ef,acall 0xd6ef,GAP_MNEMONICS acall,agree
bank0,D434,FUN_CODE_d434,D43D,91d4,acall 0xd4d4,acall 0xd4d4,acall 0xd4d4,acall 0xd4d4,GAP_MNEMONICS acall,agree
bank0,D434,FUN_CODE_d434,D45B,a1d4,ajmp 0xd5d4,ajmp 0xd5d4,ajmp 0xd5d4,ajmp 0xd5d4,GAP_MNEMONICS ajmp,agree
bank0,D757,FUN_CODE_d757,D783,92e4,"mov 0xe4, CY","mov  acc.4,c",mov 0xe4|c,mov 0xe4|c,BIT_UNSUPPORTED 0x92,agree
bank0,E9DE,rmw_1603_and_wait_tf1_2500_times,E9FE,b2e2,cpl 0xe2,cpl  acc.2,cpl 0xe2,cpl 0xe2,BIT_UNSUPPORTED 0xB2,agree
bank0,E9DE,rmw_1603_and_wait_tf1_2500_times,EA03,b2e1,cpl 0xe1,cpl  acc.1,cpl 0xe1,cpl 0xe1,BIT_UNSUPPORTED 0xB2,agree
bank0,EBD5,dispatch_on_0a4b_via_7151,EBE4,01ec,ajmp 0xe8ec,ajmp 0xe8ec,ajmp 0xe8ec,ajmp 0xe8ec,GAP_MNEMONICS ajmp,agree
bank0,EF12,ajmp_0xe822,EF12,0122,ajmp 0xe822,ajmp 0xe822,ajmp 0xe822,ajmp 0xe822,GAP_MNEMONICS ajmp,agree
bank0,F239,gate_06e6_then_dispatch_0e01,F25C,01f3,ajmp 0xf0f3,ajmp 0xf0f3,ajmp 0xf0f3,ajmp 0xf0f3,GAP_MNEMONICS ajmp,agree
bank1,84E5,table_bytes_disassembled_as_code_84e5,84EA,6100,ajmp 0x8300,ajmp 0x8300,ajmp 0x8300,ajmp 0x8300,GAP_MNEMONICS ajmp,agree
bank1,8802,ajmp_8822_not_a_function,8802,0122,ajmp 0x8822,ajmp 0x8822,ajmp 0x8822,ajmp 0x8822,GAP_MNEMONICS ajmp,agree
bank1,9F04,dispatch_on_dpl_5b_7b_40,9F20,92e3,"mov 0xe3, CY","mov  acc.3,c",mov 0xe3|c,mov 0xe3|c,BIT_UNSUPPORTED 0x92,agree
bank1,A57E,write_0_to_200b_r5_times_330,A599,d5e0e5,"djnz A, 0xa581","djnz 0xe0,0xa581",djnz 0xe0|0xa581,djnz 0xe0|0xa581,"GAP_FORMS ""djnz a,""",agree
bank1,D8BC,FUN_CODE_d8bc,D8DF,92f0,"mov 0xf0, CY","mov  b.0,c",mov 0xf0|c,mov 0xf0|c,BIT_UNSUPPORTED 0x92,agree
bank1,D8BC,FUN_CODE_d8bc,D8E3,92f1,"mov 0xf1, CY","mov  b.1,c",mov 0xf1|c,mov 0xf1|c,BIT_UNSUPPORTED 0x92,agree
bank1,E954,unresolved_byte_stream_e954,E983,4119,ajmp 0xea19,ajmp 0xea19,ajmp 0xea19,ajmp 0xea19,GAP_MNEMONICS ajmp,agree
bank1,E9CE,FUN_CODE_e9ce,EA85,4126,ajmp 0xea26,ajmp 0xea26,ajmp 0xea26,ajmp 0xea26,GAP_MNEMONICS ajmp,agree
bank1,EAC3,unresolved_byte_stream_eac3,EB23,f126,acall 0xef26,acall 0xef26,acall 0xef26,acall 0xef26,GAP_MNEMONICS acall,agree
bank1,EAC3,unresolved_byte_stream_eac3,EB3D,8136,ajmp 0xec36,ajmp 0xec36,ajmp 0xec36,ajmp 0xec36,GAP_MNEMONICS ajmp,agree
bank1,EAC3,unresolved_byte_stream_eac3,EBDD,b13a,acall 0xed3a,acall 0xed3a,acall 0xed3a,acall 0xed3a,GAP_MNEMONICS acall,agree
bank1,EAC3,unresolved_byte_stream_eac3,EC39,211f,ajmp 0xe91f,ajmp 0xe91f,ajmp 0xe91f,ajmp 0xe91f,GAP_MNEMONICS ajmp,agree
bank1,ED3A,data_run_2e_3e,ED69,b22b,cpl 0x2b,cpl  0x25.3,cpl 0x2b,cpl 0x2b,BIT_UNSUPPORTED 0xB2,agree
bank1,ED3A,data_run_2e_3e,EE6D,b23a,cpl 0x3a,cpl  0x27.2,cpl 0x3a,cpl 0x3a,BIT_UNSUPPORTED 0xB2,agree
bank1,ED3A,data_run_2e_3e,EEA2,31ce,acall 0xe9ce,acall 0xe9ce,acall 0xe9ce,acall 0xe9ce,GAP_MNEMONICS acall,agree
bank1,F030,operand_of_mov_dptr_f02f,F031,a112,ajmp 0xf512,ajmp 0xf512,ajmp 0xf512,ajmp 0xf512,GAP_MNEMONICS ajmp,agree
bank1,F054,mid_instruction_of_row_f053,F054,f10d,acall 0xf70d,acall 0xf70d,acall 0xf70d,acall 0xf70d,GAP_MNEMONICS acall,agree
bank1,F090,mid_instruction_of_row_f08f,F090,f127,acall 0xf727,acall 0xf727,acall 0xf727,acall 0xf727,GAP_MNEMONICS acall,agree
bank1,F0E4,mid_instruction_of_row_f0e3,F0E4,f13e,acall 0xf73e,acall 0xf73e,acall 0xf73e,acall 0xf73e,GAP_MNEMONICS acall,agree
bank1,F160,toggle_045b_bit0_set_0709_bit0,F177,b2e0,cpl 0xe0,cpl  acc.0,cpl 0xe0,cpl 0xe0,BIT_UNSUPPORTED 0xB2,agree
bank1,F219,set_0636_0a_toggle_047b_02_set_097a_02,F233,b2e1,cpl 0xe1,cpl  acc.1,cpl 0xe1,cpl 0xe1,BIT_UNSUPPORTED 0xB2,agree
bank1,F246,if_045a_bit4_set_toggle_047b_10_set_0637_0a,F267,b2e4,cpl 0xe4,cpl  acc.4,cpl 0xe4,cpl 0xe4,BIT_UNSUPPORTED 0xB2,agree
common,0046,FUN_CODE_0046,0058,3134,acall 0x0134,acall 0x0134,acall 0x0134,acall 0x0134,GAP_MNEMONICS acall,agree
common,0064,FUN_CODE_0064,0064,1186,acall 0x0086,acall 0x0086,acall 0x0086,acall 0x0086,GAP_MNEMONICS acall,agree
common,011C,FUN_CODE_011c,011C,1101,acall 0x0001,acall 0x0001,acall 0x0001,acall 0x0001,GAP_MNEMONICS acall,agree
common,0504,FUN_CODE_0504,0509,01f0,ajmp 0x00f0,ajmp 0x00f0,ajmp 0x00f0,ajmp 0x00f0,GAP_MNEMONICS ajmp,agree
common,0512,int0_vector_forwarder_to_052f,0512,0103,ajmp 0x0003,ajmp 0x0003,ajmp 0x0003,ajmp 0x0003,GAP_MNEMONICS ajmp,agree
