file_offset,region,runtime,opcode,length,disp,target,target_offset,in_region,target_class,frame_onto,frame_over,calls_stub,calls_trampoline
0x0D5FB,bank0,0xD5FB,jnb,3,0xDD,0xD5DB,0x0D5DB,yes,entry,24,0,,
0x0D5FD,bank0,0xD5FD,djnz,2,0xE5,0xD5E4,0x0D5E4,yes,other,1,23,,
0x0D600,bank0,0xD600,jz,2,0x0B,0xD60D,0x0D60D,yes,entry,24,0,,
0x0D603,bank0,0xD603,jbc,3,0xE5,0xD5EB,0x0D5EB,yes,other,0,24,,
0x0D60B,bank0,0xD60B,sjmp,2,0xCE,0xD5DB,0x0D5DB,yes,entry,24,0,,
0x0D611,bank0,0xD611,jz,2,0x2F,0xD642,0x0D642,yes,entry,24,0,,
0x0D614,bank0,0xD614,jz,2,0x34,0xD64A,0x0D64A,yes,entry,24,0,,
0x0D617,bank0,0xD617,jz,2,0x36,0xD64F,0x0D64F,yes,entry,24,0,,
0x0D61A,bank0,0xD61A,jz,2,0x3D,0xD659,0x0D659,yes,entry,24,0,,
0x0D61E,bank0,0xD61E,jz,2,0x45,0xD665,0x0D665,yes,entry,24,0,,
0x0D622,bank0,0xD622,jnz,2,0xB7,0xD5DB,0x0D5DB,yes,entry,24,0,,
0x0D623,bank0,0xD623,cjne,3,0x00,0xD626,0x0D626,yes,other,0,24,,
0x0D629,bank0,0xD629,jbc,3,0xF0,0xD61C,0x0D61C,yes,other,0,24,,
0x0D62D,bank0,0xD62D,jbc,3,0x74,0xD6A4,0x0D6A4,yes,other,0,24,,
0x0D633,bank0,0xD633,jbc,3,0x14,0xD64A,0x0D64A,yes,entry,0,24,,
0x0D639,bank0,0xD639,jbc,3,0xF0,0xD62C,0x0D62C,yes,entry,0,24,,
0x0D63D,bank0,0xD63D,jbc,3,0xF0,0xD630,0x0D630,yes,other,0,24,,
0x0D640,bank0,0xD640,sjmp,2,0x99,0xD5DB,0x0D5DB,yes,entry,24,0,,
0x0D643,bank0,0xD643,jbc,3,0x74,0xD6BA,0x0D6BA,yes,other,0,24,,
0x0D648,bank0,0xD648,sjmp,2,0x00,0xD64A,0x0D64A,yes,entry,24,0,,
0x0D64D,bank0,0xD64D,sjmp,2,0x8C,0xD5DB,0x0D5DB,yes,entry,22,2,,
0x0D650,bank0,0xD650,jbc,3,0xE0,0xD633,0x0D633,yes,other,3,21,,
0x0D657,bank0,0xD657,sjmp,2,0x82,0xD5DB,0x0D5DB,yes,entry,24,0,,
0x0D65B,bank0,0xD65B,jbc,3,0xF0,0xD64E,0x0D64E,yes,other,0,24,,
0x0D65F,bank0,0xD65F,jbc,3,0xF0,0xD652,0x0D652,yes,other,0,24,,
0x0D663,bank0,0xD663,djnz,3,0x90,0xD5F6,0x0D5F6,yes,other,0,24,,
0x0D664,bank0,0xD664,djnz,2,0x90,0xD5F6,0x0D5F6,yes,other,0,24,,
0x0D666,bank0,0xD666,jbc,3,0xE0,0xD649,0x0D649,yes,other,2,22,,
0x0D667,bank0,0xD667,jb,3,0x54,0xD6BE,0x0D6BE,yes,entry,0,24,,
0x0D66A,bank0,0xD66A,djnz,2,0xF0,0xD65C,0x0D65C,yes,other,1,23,,
0x0D66D,bank0,0xD66D,jbc,3,0xE0,0xD650,0x0D650,yes,other,0,24,,
0x0D6B0,bank0,0xD6B0,jbc,3,0x74,0xD727,0x0D727,yes,other,0,24,,
0x0D6B9,bank0,0xD6B9,jb,3,0x90,0xD64C,0x0D64C,yes,other,2,22,,
0x0D6C7,bank0,0xD6C7,sjmp,2,0xFE,0xD6C7,0x0D6C7,yes,entry,24,0,,
0x0D6D6,bank0,0xD6D6,djnz,2,0xE0,0xD6B8,0x0D6B8,yes,entry,1,23,,
0x0D6DB,bank0,0xD6DB,djnz,2,0xE0,0xD6BD,0x0D6BD,yes,other,1,23,,
0x0D71A,bank0,0xD71A,djnz,2,0x89,0xD6A5,0x0D6A5,yes,entry,0,24,,
0x0D726,bank0,0xD726,djnz,2,0x89,0xD6B1,0x0D6B1,yes,other,0,24,,
0x0D72E,bank0,0xD72E,djnz,2,0x94,0xD6C4,0x0D6C4,yes,entry,0,24,,
0x0D733,bank0,0xD733,djnz,2,0x72,0xD7A7,0x0D7A7,yes,other,0,24,,
0x0D739,bank0,0xD739,cjne,3,0xF1,0xD72D,0x0D72D,yes,entry,24,0,,
0x0D740,bank0,0xD740,djnz,2,0x72,0xD7B4,0x0D7B4,yes,other,0,24,,
0x0D745,bank0,0xD745,djnz,2,0x94,0xD6DB,0x0D6DB,yes,other,0,24,,
0x0D74B,bank0,0xD74B,cjne,3,0xF1,0xD73F,0x0D73F,yes,entry,24,0,,
