addr,total,main_ec,pd_image,common,bank0,bank1,pd-image
0x061E,0,0,0,0,0,0,0
0x061F,0,0,0,0,0,0,0
0x0620,4,4,0,0,0,4,0
0x0621,2,2,0,0,0,2,0
0x0622,6,6,0,0,2,4,0
0x0623,7,7,0,0,0,7,0
0x0624,0,0,0,0,0,0,0
0x0625,0,0,0,0,0,0,0
0x0626,4,4,0,0,0,4,0
0x0627,5,5,0,0,0,5,0
0x0628,2,2,0,0,0,2,0
0x0629,0,0,0,0,0,0,0
0x062A,0,0,0,0,0,0,0
0x062B,0,0,0,0,0,0,0
0x062C,0,0,0,0,0,0,0
0x062D,0,0,0,0,0,0,0
0x062E,3,3,0,0,0,3,0
0x062F,0,0,0,0,0,0,0
0x0630,1,1,0,0,0,1,0
0x0631,3,3,0,0,1,2,0
0x0632,0,0,0,0,0,0,0
0x0633,3,3,0,0,1,2,0
0x0634,0,0,0,0,0,0,0
0x0635,1,1,0,0,0,1,0
0x0636,3,3,0,1,0,2,0
0x0637,2,2,0,0,0,2,0
0x0638,1,1,0,0,0,1,0
0x0639,1,1,0,0,0,1,0
0x063A,1,1,0,0,0,1,0
0x063B,0,0,0,0,0,0,0
0x063C,0,0,0,0,0,0,0
0x063D,0,0,0,0,0,0,0
0x063E,0,0,0,0,0,0,0
0x063F,0,0,0,0,0,0,0
0x0640,0,0,0,0,0,0,0
0x0641,0,0,0,0,0,0,0
0x0642,0,0,0,0,0,0,0
0x0643,0,0,0,0,0,0,0
0x0644,0,0,0,0,0,0,0
0x0645,0,0,0,0,0,0,0
0x0646,9,9,0,0,0,9,0
0x0647,0,0,0,0,0,0,0
0x0648,3,3,0,0,0,3,0
0x0649,0,0,0,0,0,0,0
0x064A,0,0,0,0,0,0,0
0x064B,0,0,0,0,0,0,0
0x064C,0,0,0,0,0,0,0
0x064D,0,0,0,0,0,0,0
0x064E,0,0,0,0,0,0,0
0x064F,0,0,0,0,0,0,0
0x0650,0,0,0,0,0,0,0
0x0651,0,0,0,0,0,0,0
0x0652,0,0,0,0,0,0,0
0x0653,0,0,0,0,0,0,0
0x0654,0,0,0,0,0,0,0
0x0655,0,0,0,0,0,0,0
0x0656,0,0,0,0,0,0,0
0x0657,0,0,0,0,0,0,0
0x0658,0,0,0,0,0,0,0
0x0659,0,0,0,0,0,0,0
0x065A,0,0,0,0,0,0,0
0x065B,0,0,0,0,0,0,0
0x065C,0,0,0,0,0,0,0
0x065D,0,0,0,0,0,0,0
0x065E,0,0,0,0,0,0,0
0x065F,0,0,0,0,0,0,0
0x0660,1,0,1,0,0,0,1
0x0661,2,0,2,0,0,0,2
0x0662,0,0,0,0,0,0,0
0x0663,0,0,0,0,0,0,0
0x0664,0,0,0,0,0,0,0
0x0665,6,0,6,0,0,0,6
0x0666,3,0,3,0,0,0,3
0x0667,5,0,5,0,0,0,5
0x0668,0,0,0,0,0,0,0
0x0669,0,0,0,0,0,0,0
0x066A,0,0,0,0,0,0,0
0x066B,4,0,4,0,0,0,4
0x066C,2,0,2,0,0,0,2
0x066D,1,0,1,0,0,0,1
0x066E,2,0,2,0,0,0,2
0x066F,1,0,1,0,0,0,1
0x0670,15,9,6,0,9,0,6
0x0671,0,0,0,0,0,0,0
0x0672,6,4,2,0,4,0,2
0x0673,2,2,0,0,2,0,0
0x0674,0,0,0,0,0,0,0
0x0675,8,0,8,0,0,0,8
0x0676,0,0,0,0,0,0,0
0x0677,4,0,4,0,0,0,4
0x0678,3,2,1,0,0,2,1
0x0679,3,2,1,0,0,2,1
0x067A,1,0,1,0,0,0,1
0x067B,1,0,1,0,0,0,1
0x067C,2,2,0,0,0,2,0
0x067D,2,2,0,0,0,2,0
0x067E,2,2,0,0,0,2,0
0x067F,0,0,0,0,0,0,0
0x0680,19,19,0,0,0,19,0
0x0681,15,15,0,0,0,15,0
0x0682,3,3,0,0,0,3,0
0x0683,2,2,0,0,0,2,0
0x0684,0,0,0,0,0,0,0
0x0685,0,0,0,0,0,0,0
0x0686,2,2,0,0,0,2,0
0x0687,0,0,0,0,0,0,0
0x0688,0,0,0,0,0,0,0
0x0689,0,0,0,0,0,0,0
0x068A,4,4,0,0,0,4,0
0x068B,12,12,0,0,0,12,0
0x068C,13,13,0,0,0,13,0
0x068D,9,9,0,0,0,9,0
0x068E,0,0,0,0,0,0,0
0x068F,0,0,0,0,0,0,0
0x0690,0,0,0,0,0,0,0
0x0691,2,2,0,0,0,2,0
0x0692,0,0,0,0,0,0,0
0x0693,0,0,0,0,0,0,0
0x0694,8,6,2,0,0,6,2
0x0695,0,0,0,0,0,0,0
0x0696,1,1,0,0,0,1,0
0x0697,0,0,0,0,0,0,0
0x0698,0,0,0,0,0,0,0
0x0699,8,2,6,0,0,2,6
0x069A,5,0,5,0,0,0,5
0x069B,6,0,6,0,0,0,6
0x069C,0,0,0,0,0,0,0
0x069D,3,3,0,0,0,3,0
0x069E,0,0,0,0,0,0,0
0x069F,0,0,0,0,0,0,0
0x06A0,0,0,0,0,0,0,0
0x06A1,0,0,0,0,0,0,0
0x06A2,0,0,0,0,0,0,0
0x06A3,0,0,0,0,0,0,0
0x06A4,0,0,0,0,0,0,0
0x06A5,0,0,0,0,0,0,0
0x06A6,0,0,0,0,0,0,0
0x06A7,0,0,0,0,0,0,0
