addr,file_offset,region,runtime,frame_onto,frame_over,access,window,terminator
0x07D7,0x2611E,pd-image,0x611E,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r5,#0x02 ; lcall 0xf686",flow opcode
0x07D7,0x26138,pd-image,0x6138,24,0,read x1,"movx a,@dptr ; mov r3,a ; mov 0xf0,#0x60",DPTR reloaded
0x07D7,0x2614F,pd-image,0x614F,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf5c3",flow opcode
0x07D7,0x26159,pd-image,0x6159,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xcf2b",flow opcode
0x07D7,0x26163,pd-image,0x6163,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf5c3",flow opcode
0x07D7,0x2616D,pd-image,0x616D,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xcf2b",flow opcode
0x07D7,0x26435,pd-image,0x6435,24,0,read x1,"movx a,@dptr ; mov r7,a",DPTR reloaded
0x07D7,0x26D95,pd-image,0x6D95,24,0,write x1,"mov a,r5 ; movx @dptr,a ; clr a",DPTR reloaded
0x07D7,0x26E7E,pd-image,0x6E7E,24,0,read x1,"movx a,@dptr ; xrl a,#0x03 ; jnz +0x6b",flow opcode
0x07D7,0x280A3,pd-image,0x80A3,24,0,write x1,"mov a,r4 ; movx @dptr,a ; xrl a,r6 ; jz +0x1d",flow opcode
0x07D7,0x289C6,pd-image,0x89C6,22,2,write x1,"mov a,#0x03 ; movx @dptr,a",DPTR reloaded
0x07D7,0x289F5,pd-image,0x89F5,24,0,write x1,"mov a,#0x01 ; movx @dptr,a ; sjmp +0x14",flow opcode
0x07D7,0x28A04,pd-image,0x8A04,23,1,no movx found in the decoded window,jc +0x05,flow opcode
0x07D7,0x29E86,pd-image,0x9E86,23,1,"write x2, walks 2 consecutive bytes (inc dptr)","mov a,r7 ; movx @dptr,a ; inc dptr ; mov a,#0x01 ; movx @dptr,a ; lcall 0xf5c3",flow opcode
0x07D7,0x29E98,pd-image,0x9E98,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf51e",flow opcode
0x07D7,0x29EA6,pd-image,0x9EA6,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf22e",flow opcode
0x07D7,0x29EB3,pd-image,0x9EB3,24,0,read x1,"movx a,@dptr ; lcall 0x5702",flow opcode
0x07D7,0x29EC8,pd-image,0x9EC8,24,0,DPTR handed to lcall 0x58b9 -- direction unresolved here,lcall 0x58b9,flow opcode
0x07D7,0x29EE4,pd-image,0x9EE4,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xebe4",flow opcode
